Date,Open,High,Low,Close,Adj Close,Volume
2015-06-12,156.449539,156.514648,155.017395,166.990005,155.296387,3065100
2015-06-15,155.296387,155.296387,152.748260,166.259995,154.617493,4245700
2015-06-16,154.682602,155.677673,154.291992,166.839996,155.156891,3249800
2015-06-17,155.305695,156.096146,154.468735,167.169998,155.463776,2863000
2015-06-18,155.352188,156.905243,155.352188,168.250000,156.468170,3330900
2015-06-19,155.882263,156.626251,155.091782,166.990005,155.296387,7074000
2015-06-22,155.910172,156.551849,155.491684,167.729996,155.984558,2335800
2015-06-23,156.589020,158.067734,155.835800,168.619995,156.812225,3701600
2015-06-24,156.895935,157.016815,155.147583,166.970001,155.277786,3548100
2015-06-25,156.049683,156.356552,154.450104,166.080002,154.450104,2408900
2015-06-26,154.589600,155.128998,153.659637,165.460007,153.873520,8946000
2015-06-29,152.441376,153.771210,151.483490,162.970001,151.557877,3314700
2015-06-30,152.506454,152.515778,150.767395,162.660004,151.269592,3597300
2015-07-01,152.487869,154.013016,152.143768,164.490005,152.971436,3214500
2015-07-02,153.492233,153.743347,152.906342,165.089996,153.529419,2852700
2015-07-06,152.357681,153.659637,152.069366,164.729996,153.194641,3079800
2015-07-07,153.389938,153.771210,150.869705,165.000000,153.445740,3549900
2015-07-08,152.515778,153.389938,151.288177,163.160004,151.734589,2776300
2015-07-09,153.761932,153.920029,152.236786,163.850006,152.376266,4138500
2015-07-10,154.059540,155.677673,153.929321,166.949997,155.259186,4538300
2015-07-13,156.170532,157.993301,155.789261,169.380005,157.519028,4229000
2015-07-14,157.565521,157.667831,156.458878,168.610001,156.802933,3025300
2015-07-15,156.682053,157.416718,156.235672,168.529999,156.728561,1998000
2015-07-16,157.602722,159.109268,157.314423,171.000000,159.025589,3529900
2015-07-17,158.402496,160.439148,158.188583,172.509995,160.429840,4356400
2015-07-20,160.690231,161.610901,160.085770,173.220001,161.090134,7377800
2015-07-21,152.831940,154.701202,150.674408,163.070007,151.650909,13752300
2015-07-22,151.334686,151.650909,148.516876,160.350006,149.121353,7181800
2015-07-23,149.046967,151.353302,148.637787,161.729996,150.404724,5034200
2015-07-24,149.995514,150.590714,148.247162,159.750000,148.563354,3778200
2015-07-27,147.865891,148.963242,147.493912,159.070007,147.931015,3706200
2015-07-28,148.712173,148.972549,147.400909,160.050003,148.842392,2721000
2015-07-29,148.795868,150.190826,148.228577,161.089996,149.809555,3378400
2015-07-30,149.260849,150.097824,148.563354,160.960007,149.688629,1994700
2015-07-31,150.097824,150.711624,149.381744,161.990005,150.646530,3580200
2015-08-03,150.376801,150.516327,146.842896,158.710007,147.596222,4615700
2015-08-04,147.307892,147.698517,145.885025,157.600006,146.563934,5260600
2015-08-05,147.958878,148.368073,146.452316,157.899994,146.842896,3472800
2015-08-06,147.339935,147.724365,146.449066,156.320007,146.580353,3004800
2015-08-07,146.177155,146.514709,144.723740,155.119995,145.455124,3794900
2015-08-10,147.002350,147.658707,146.392838,156.750000,146.983582,4613400
2015-08-11,146.242813,146.270935,145.211334,155.509995,145.820831,3167100
2015-08-12,144.648712,146.767914,144.358017,156.160004,146.430328,3560300
2015-08-13,146.336563,146.364685,144.704987,155.070007,145.408249,2533400
2015-08-14,145.342606,146.477234,144.948776,155.750000,146.045898,3226400
2015-08-17,145.530151,146.927322,145.061279,156.309998,146.570984,2249600
2015-08-18,145.820831,146.767914,145.577026,156.009995,146.289688,2018300
2015-08-19,145.483261,145.970856,143.851669,153.940002,144.348663,4177100
2015-08-20,143.223434,144.320557,142.998367,152.660004,143.148407,4011500
2015-08-21,142.060654,143.645370,139.435135,148.850006,139.575790,7362100
2015-08-24,134.530975,138.553696,134.090271,143.470001,134.530975,10189700
2015-08-25,137.784805,137.944199,131.858566,140.960007,132.177399,7073200
2015-08-26,135.112366,137.822296,133.283844,146.699997,137.559769,6221800
2015-08-27,139.247559,139.688324,136.584549,148.539993,139.285110,4976600
2015-08-28,138.544327,138.966293,138.009827,147.979996,138.760010,4076300
2015-08-31,138.197388,139.153809,137.147141,147.889999,138.675613,4093100
2015-09-01,135.881287,135.946915,133.011948,142.679993,133.790222,5272000
2015-09-02,135.721878,136.040680,134.259064,145.050003,136.012573,4252000
2015-09-03,136.950241,138.806900,136.687668,146.779999,137.634750,3603500
2015-09-04,135.562485,136.340714,134.390350,143.699997,134.746674,4201100
2015-09-08,136.772064,138.159897,136.584549,147.229996,138.056732,3933300
2015-09-09,139.472656,139.753952,135.825012,145.050003,136.012573,3407800
2015-09-10,136.762711,137.991119,135.506180,146.199997,137.090881,3461700
